max_depth, cross_val_score, training_score, testing_score
1,0.5318593435217028, 0.5452517527087317, 0.5178306092124815
2,0.5331352638326449, 0.5544933078393881, 0.524517087667162
3,0.5369599723245354, 0.555768005098789, 0.525260029717682
4,0.5398323192446226, 0.5583173996175909, 0.524517087667162
5,0.5379204737388332, 0.5694710006373487, 0.5282317979197623
6,0.5395138479070429, 0.5755258126195029, 0.5215453194650818
7,0.5401497731018905, 0.5825366475462078, 0.5170876671619614
8,0.5309161392727051, 0.588591459528362, 0.5156017830609212
9,0.536324047129688, 0.6019757807520714, 0.5141158989598811
10,0.5261360167680755, 0.6191841937539835, 0.5163447251114414
11,0.5344244113876396, 0.6316124920331422, 0.5178306092124815
12,0.5305956329745019, 0.6475462077756533, 0.5200594353640416
13,0.5312264707677905, 0.665710643722116, 0.5185735512630015
14,0.5232606174070532, 0.6746335245379222, 0.5282317979197623
15,0.5254909342504223, 0.6883365200764818, 0.5356612184249628
16,0.5203943753688367, 0.7020395156150414, 0.5326894502228826
17,0.5121110681508313, 0.7151051625239006, 0.5230312035661219
18,0.5239056999247065, 0.7329509241555131, 0.5282317979197623
19,0.5178425347469526, 0.7504780114722753, 0.5208023774145617
20,0.5226419893775056, 0.7664117272147865, 0.5312035661218425
21,0.5178404997863291, 0.7880815806246017, 0.5222882615156018
22,0.5219826621354877, 0.7998725302740599, 0.5193164933135216
23,0.5133839360208381, 0.8126195028680688, 0.5170876671619614
24,0.5124336094096579, 0.8247291268323773, 0.5208023774145617
25,0.5200697991493864, 0.837157425111536, 0.5319465081723626
26,0.5178486396288232, 0.8483110261312938, 0.5185735512630015
27,0.5216713131600904, 0.8623326959847036, 0.5208023774145617
28,0.5159296717608515, 0.8718929254302104, 0.5341753343239227
29,0.5238975600822124, 0.8836838750796686, 0.5267459138187222
30,0.5267709244826113, 0.8913320586360739, 0.5208023774145617
31,0.5194521886001506, 0.8986615678776291, 0.525260029717682
32,0.5258205978714312, 0.9053537284894837, 0.5356612184249628
33,0.521997924340164, 0.9126832377310389, 0.5304606240713224
34,0.5286797175474656, 0.9187380497131931, 0.5185735512630015
35,0.5261319468468285, 0.9222434671765456, 0.5297176820208024
36,0.5299566553387193, 0.9251115360101976, 0.5185735512630015
37,0.5286797175474655, 0.9302103250478011, 0.5163447251114414
38,0.5274037972365233, 0.9343530911408541, 0.5200594353640416
39,0.5280407399116827, 0.9410452517527087, 0.5178306092124815
40,0.5226216397712704, 0.9413639260675589, 0.5215453194650818
41,0.5219816446551759, 0.9464627151051626, 0.525260029717682
42,0.5203933578885247, 0.9512428298279159, 0.5297176820208024
43,0.526759732199182, 0.9563416188655195, 0.5230312035661219
44,0.5372794611424269, 0.9595283620140217, 0.5267459138187222
45,0.5251816202356484, 0.9649458253664754, 0.5208023774145617
46,0.5321890071427118, 0.9678138942001274, 0.5289747399702823
47,0.5312274882481024, 0.9684512428298279, 0.5356612184249628
48,0.5315479945463055, 0.9697259400892289, 0.5118870728083209
49,0.5251795852750248, 0.9725940089228808, 0.5200594353640416
50,0.5274058321971471, 0.9767367750159337, 0.5237741456166419
51,0.5264483832237846, 0.978648820905035, 0.5222882615156018
52,0.5280427748723062, 0.9808795411089866, 0.5096582466567607
53,0.5235831586658799, 0.982791586998088, 0.5141158989598811
54,0.5270965181823732, 0.9847036328871893, 0.5289747399702823
55,0.5270893958201909, 0.9866156787762906, 0.5059435364041605
56,0.5245385726786187, 0.9894837476099426, 0.5267459138187222
57,0.5219989418204758, 0.992989165073295, 0.5260029717682021
58,0.5302730917156753, 0.994263862332696, 0.5356612184249628
59,0.5321930770639589, 0.9961759082217974, 0.5178306092124815
60,0.5293156427423129, 0.997131931166348, 0.5208023774145617
61,0.5414206060112737, 0.9977692797960485, 0.5163447251114414
62,0.522306220874626, 0.9984066284257489, 0.5208023774145617
63,0.5267668545613643, 0.9990439770554493, 0.5178306092124815
64,0.5334547526505362, 0.9993626513702996, 0.513372956909361
65,0.5267648196007407, 1.0, 0.5274888558692422
66,0.5219897844976699, 1.0, 0.5274888558692422
67,0.5309181742333287, 1.0, 0.5193164933135216
68,0.522631814574388, 1.0, 0.5163447251114414
69,0.5264524531450316, 1.0, 0.5282317979197623
70,0.5286858224293359, 1.0, 0.5163447251114414
71,0.5261319468468286, 1.0, 0.5156017830609212
72,0.5248580614965099, 1.0, 0.5312035661218425
73,0.5280407399116827, 1.0, 0.5111441307578009
74,0.5226297796137644, 1.0, 0.5156017830609212
75,0.5270853258989439, 1.0, 0.5185735512630015
76,0.5286725951852832, 1.0, 0.5200594353640416
77,0.5264544881056552, 1.0, 0.5141158989598811
78,0.5267749944038582, 1.0, 0.5208023774145617
79,0.5242251887425977, 1.0, 0.5222882615156018
80,0.5286746301459067, 1.0, 0.5237741456166419
81,0.5264483832237847, 1.0, 0.5074294205052006
82,0.5296432714026984, 1.0, 0.5208023774145617
83,0.5324983211574856, 1.0, 0.5289747399702823
84,0.520405567652266, 1.0, 0.5356612184249628
85,0.525813475509249, 1.0, 0.5267459138187222
86,0.5261309293665167, 1.0, 0.5156017830609212
87,0.5286797175474655, 1.0, 0.5096582466567607
88,0.5267668545613642, 1.0, 0.5312035661218425
89,0.5325054435196679, 1.0, 0.5208023774145617
90,0.5191215074988298, 1.0, 0.5260029717682021
91,0.5340927128060071, 1.0, 0.5148588410104011
92,0.5245426425998657, 1.0, 0.5260029717682021
93,0.5273966748743412, 1.0, 0.524517087667162
94,0.5146649437333387, 1.0, 0.5208023774145617
95,0.5286827699884007, 1.0, 0.5237741456166419
96,0.5324952687165504, 1.0, 0.5230312035661219
97,0.5235780712643211, 1.0, 0.5208023774145617
98,0.5261258419649579, 1.0, 0.5319465081723626
99,0.5235770537840093, 1.0, 0.5185735512630015
100,0.5242221363016626, 1.0, 0.5200594353640416
101,0.5296381840011396, 1.0, 0.5148588410104011
102,0.5334567876111598, 1.0, 0.5170876671619614
103,0.5341008526485013, 1.0, 0.5178306092124815
104,0.5258205978714312, 1.0, 0.5163447251114414
105,0.5299597077796545, 1.0, 0.5200594353640416
106,0.5395189353086018, 1.0, 0.5148588410104011
107,0.5277141287316091, 1.0, 0.5193164933135216
108,0.5242150139394803, 1.0, 0.5267459138187222
109,0.5274058321971469, 1.0, 0.5319465081723626
110,0.5229451985104088, 1.0, 0.5267459138187222
111,0.531233593129973, 1.0, 0.5111441307578009
112,0.5318746057263792, 1.0, 0.5163447251114414
113,0.5226440243381292, 1.0, 0.5208023774145617
114,0.5248600964571335, 1.0, 0.5304606240713224
115,0.5280437923526179, 1.0, 0.525260029717682
116,0.5360086282330436, 1.0, 0.5156017830609212
117,0.5242109440182332, 1.0, 0.524517087667162
118,0.5283612462098859, 1.0, 0.5156017830609212
119,0.5286807350277773, 1.0, 0.5282317979197623
120,0.5270914307808143, 1.0, 0.5096582466567607
121,0.5344274638285749, 1.0, 0.5185735512630015
122,0.5274068496774587, 1.0, 0.5178306092124815
123,0.5315398547038115, 1.0, 0.5066864784546805
124,0.5411082395555645, 1.0, 0.5215453194650818
125,0.5337844162715452, 1.0, 0.5260029717682021
126,0.5258114405486253, 1.0, 0.5304606240713224
127,0.5290032762866038, 1.0, 0.5193164933135216
128,0.5290012413259804, 1.0, 0.5052005943536404
129,0.5235821411855681, 1.0, 0.5148588410104011
130,0.5255021265338515, 1.0, 0.5178306092124815
131,0.5325095134409149, 1.0, 0.5111441307578009
132,0.5251765328340896, 1.0, 0.5178306092124815
133,0.5261390692090109, 1.0, 0.5341753343239227
134,0.5318725707657557, 1.0, 0.5215453194650818
135,0.5232636698479884, 1.0, 0.5170876671619614
136,0.53027003927474, 1.0, 0.512630014858841
137,0.5232565474858062, 1.0, 0.5297176820208024
138,0.5283571762886388, 1.0, 0.5170876671619614
139,0.5235740013430739, 1.0, 0.5178306092124815
140,0.5203953928491483, 1.0, 0.5282317979197623
141,0.5251704279522192, 1.0, 0.524517087667162
142,0.526138051728699, 1.0, 0.5282317979197623
143,0.5261288944058933, 1.0, 0.513372956909361
144,0.5360177855558496, 1.0, 0.5178306092124815
145,0.5366506583097618, 1.0, 0.5312035661218425
146,0.5232687572495471, 1.0, 0.5141158989598811
147,0.5331535784782565, 1.0, 0.5163447251114414
148,0.5347286380008547, 1.0, 0.5208023774145617
149,0.5239036649640829, 1.0, 0.5170876671619614
150,0.5219836796157994, 1.0, 0.5260029717682021
151,0.5187979487596915, 1.0, 0.5260029717682021
152,0.532509513440915, 1.0, 0.5267459138187222
153,0.526442278341914, 1.0, 0.5237741456166419
154,0.5251663580309721, 1.0, 0.5178306092124815
155,0.533776276429051, 1.0, 0.5267459138187222
156,0.5334618750127185, 1.0, 0.5364041604754829
157,0.5309130868317697, 1.0, 0.5215453194650818
158,0.52453348527706, 1.0, 0.5237741456166419
159,0.5226318145743879, 1.0, 0.5230312035661219
160,0.527405832197147, 1.0, 0.5089153046062407
161,0.5337833987912334, 1.0, 0.5260029717682021
162,0.5242251887425978, 1.0, 0.5185735512630015
163,0.526142121649946, 1.0, 0.5185735512630015
164,0.5312213833662318, 1.0, 0.5141158989598811
165,0.5328320546997416, 1.0, 0.5185735512630015
166,0.5264504181844082, 1.0, 0.5230312035661219
167,0.5293207301438718, 1.0, 0.5208023774145617
168,0.5248590789768217, 1.0, 0.5282317979197623
169,0.5239006125231476, 1.0, 0.525260029717682
170,0.5366435359475794, 1.0, 0.5230312035661219
171,0.5344132191042104, 1.0, 0.5148588410104011
172,0.5219867320567346, 1.0, 0.5267459138187222
173,0.5305844406910727, 1.0, 0.5111441307578009
174,0.536315907287194, 1.0, 0.5260029717682021
175,0.5235811237052562, 1.0, 0.5096582466567607
176,0.5286746301459067, 1.0, 0.5274888558692422
177,0.5223092733155613, 1.0, 0.5185735512630015
178,0.5248448342524572, 1.0, 0.524517087667162
179,0.5321788323395942, 1.0, 0.5230312035661219
180,0.5350593191021754, 1.0, 0.5267459138187222
181,0.5305935980138784, 1.0, 0.5222882615156018
182,0.5191306648216357, 1.0, 0.5185735512630015
183,0.5267597321991818, 1.0, 0.5208023774145617
184,0.5289951364441098, 1.0, 0.5141158989598811
185,0.518791843877821, 1.0, 0.5163447251114414
186,0.5328198449360004, 1.0, 0.5215453194650818
187,0.5204035326916424, 1.0, 0.5111441307578009
188,0.5299597077796545, 1.0, 0.5297176820208024
189,0.5337783113896746, 1.0, 0.5200594353640416
190,0.5261299118862051, 1.0, 0.5193164933135216
191,0.5270883783398791, 1.0, 0.5052005943536404
192,0.5315479945463055, 1.0, 0.524517087667162
193,0.5264473657434727, 1.0, 0.5260029717682021
194,0.5277283734559737, 1.0, 0.5178306092124815
195,0.5296269917177103, 1.0, 0.5185735512630015
196,0.5245385726786187, 1.0, 0.5215453194650818
197,0.5280478622738649, 1.0, 0.512630014858841
198,0.5267688895219877, 1.0, 0.5222882615156018
199,0.521993854418917, 1.0, 0.5208023774145617
200,0.5321869721820882, 1.0, 0.5118870728083209
201,0.5353727030381962, 1.0, 0.512630014858841
202,0.5309100343908344, 1.0, 0.5118870728083209
203,0.533463909973342, 1.0, 0.5185735512630015
204,0.5360045583117966, 1.0, 0.5237741456166419
205,0.5289971714047332, 1.0, 0.5059435364041605
206,0.528681752508089, 1.0, 0.5089153046062407
207,0.5321859547017765, 1.0, 0.5319465081723626
208,0.5302730917156753, 1.0, 0.5141158989598811
209,0.5382470849189068, 1.0, 0.5118870728083209
210,0.5210241956818136, 1.0, 0.5163447251114414
211,0.5334669624142774, 1.0, 0.5163447251114414
212,0.5363270995706234, 1.0, 0.5059435364041605
213,0.5261309293665167, 1.0, 0.5200594353640416
214,0.5229472334710323, 1.0, 0.5163447251114414
215,0.5277334608575325, 1.0, 0.5237741456166419
216,0.5375989499603182, 1.0, 0.5200594353640416
217,0.5309141043120815, 1.0, 0.5163447251114414
218,0.5267597321991819, 1.0, 0.5037147102526003
219,0.5356871044545287, 1.0, 0.5215453194650818
220,0.5334506827292891, 1.0, 0.5193164933135216
221,0.5258185629108078, 1.0, 0.5141158989598811
222,0.526133981807452, 1.0, 0.5208023774145617
223,0.5363332044524939, 1.0, 0.5193164933135216
224,0.5391953765694635, 1.0, 0.5319465081723626
225,0.5293075028998188, 1.0, 0.5230312035661219
226,0.5267658370810524, 1.0, 0.5185735512630015
227,0.5315449421053702, 1.0, 0.5118870728083209
228,0.534414236584522, 1.0, 0.5208023774145617
229,0.5344152540648338, 1.0, 0.5304606240713224
230,0.526133981807452, 1.0, 0.525260029717682
231,0.5289920840031745, 1.0, 0.5156017830609212
232,0.5302751266762988, 1.0, 0.524517087667162
233,0.5286787000671537, 1.0, 0.524517087667162
234,0.5245273803951894, 1.0, 0.5215453194650818
235,0.521030300563684, 1.0, 0.5200594353640416
236,0.5337742414684276, 1.0, 0.5200594353640416
237,0.5273987098349646, 1.0, 0.5074294205052006
238,0.5286909098308948, 1.0, 0.5319465081723626
239,0.5289880140819274, 1.0, 0.5230312035661219
240,0.5302791965975457, 1.0, 0.5081723625557206
241,0.5254970391322928, 1.0, 0.5200594353640416
242,0.5235862111068151, 1.0, 0.5274888558692422
243,0.5283510714067683, 1.0, 0.5178306092124815
244,0.5235831586658799, 1.0, 0.5118870728083209
245,0.5242139964591684, 1.0, 0.5074294205052006
246,0.5264616104678376, 1.0, 0.5289747399702823
247,0.5251673755112839, 1.0, 0.5208023774145617
248,0.5267668545613643, 1.0, 0.5230312035661219
249,0.5366384485460206, 1.0, 0.524517087667162
250,0.5302802140778576, 1.0, 0.5215453194650818
