max_depth, cross_val_score, training_score, testing_score
1,0.5318593435217028, 0.5452517527087317, 0.5178306092124815
2,0.5331352638326449, 0.5544933078393881, 0.524517087667162
3,0.536641500986956, 0.555768005098789, 0.525260029717682
4,0.5404692619197818, 0.5583173996175909, 0.524517087667162
5,0.5372825135833621, 0.5694710006373487, 0.5274888558692422
6,0.5404692619197818, 0.5755258126195029, 0.5222882615156018
7,0.5391953765694634, 0.5825366475462078, 0.5178306092124815
8,0.5290002238456686, 0.5898661567877629, 0.5178306092124815
9,0.5360055757921085, 0.6022944550669216, 0.5193164933135216
10,0.5296381840011396, 0.6210962396430848, 0.5178306092124815
11,0.5337905211534156, 0.6322498406628426, 0.5237741456166419
12,0.5334649274536537, 0.6494582536647546, 0.5215453194650818
13,0.5312305406890376, 0.6644359464627151, 0.5230312035661219
14,0.5254950041716693, 0.6739961759082218, 0.5200594353640416
15,0.5280427748723062, 0.6912045889101338, 0.5364041604754829
16,0.5178486396288232, 0.698534098151689, 0.5326894502228826
17,0.5203974278097719, 0.7173358827278521, 0.5326894502228826
18,0.5172167843552227, 0.7310388782664117, 0.5408618127786032
19,0.5200748865509451, 0.7517527087316762, 0.5297176820208024
20,0.5251948474797012, 0.765774378585086, 0.5319465081723626
21,0.5210201257605667, 0.7848948374760994, 0.5178306092124815
22,0.5162450906574958, 0.7982791586998088, 0.5282317979197623
23,0.5117905618526282, 0.8132568514977693, 0.5222882615156018
24,0.5184804949024236, 0.8247291268323773, 0.5163447251114414
25,0.5270873608595674, 0.8374760994263862, 0.5208023774145617
26,0.5258114405486254, 0.8473550031867432, 0.5104011887072808
27,0.5210313180439959, 0.8632887189292543, 0.5267459138187222
28,0.5207128467064163, 0.8725302740599108, 0.5319465081723626
29,0.5200809914328158, 0.8836838750796686, 0.5312035661218425
30,0.5258185629108076, 0.8916507329509241, 0.5312035661218425
31,0.5299515679371605, 0.8980242192479286, 0.5304606240713224
32,0.5254980566126045, 0.9050350541746335, 0.5274888558692422
33,0.5299647951812132, 0.9123645634161887, 0.5260029717682021
34,0.527409902118394, 0.9184193753983428, 0.5304606240713224
35,0.5293217476241835, 0.9222434671765456, 0.5267459138187222
36,0.5318562910807677, 0.9251115360101976, 0.5215453194650818
37,0.5302680043141164, 0.9292543021032504, 0.5141158989598811
38,0.5283541238477036, 0.9343530911408541, 0.5141158989598811
39,0.5210384404061782, 0.9394518801784576, 0.5297176820208024
40,0.5239006125231476, 0.9435946462715105, 0.5304606240713224
41,0.5270731161352027, 0.9474187380497132, 0.5215453194650818
42,0.5293125903013776, 0.9512428298279159, 0.5200594353640416
43,0.5203994627703954, 0.9550669216061185, 0.5274888558692422
44,0.5245365377179951, 0.9582536647546208, 0.5319465081723626
45,0.5248621314177571, 0.9636711281070746, 0.5237741456166419
46,0.5270853258989439, 0.9674952198852772, 0.5193164933135216
47,0.5277334608575324, 0.9687699171446782, 0.5356612184249628
48,0.5312183309252966, 0.9710006373486297, 0.5282317979197623
49,0.5232636698479884, 0.9738687061822817, 0.5170876671619614
50,0.5216753830813374, 0.9764181007010835, 0.513372956909361
51,0.5289971714047332, 0.978648820905035, 0.5237741456166419
52,0.5184703200993062, 0.9808795411089866, 0.5289747399702823
53,0.5248550090555748, 0.982791586998088, 0.5156017830609212
54,0.5388728353106368, 0.98565965583174, 0.513372956909361
55,0.5296381840011395, 0.9869343530911409, 0.5297176820208024
56,0.5273865000712237, 0.9907584448693435, 0.5260029717682021
57,0.5223001159927555, 0.9913957934990439, 0.5237741456166419
58,0.5293186951832481, 0.9945825366475463, 0.5237741456166419
59,0.526442278341914, 0.9958572339069471, 0.5163447251114414
60,0.5207006369426752, 0.997131931166348, 0.5237741456166419
61,0.5245365377179951, 0.9977692797960485, 0.5170876671619614
62,0.5203882704869661, 0.9984066284257489, 0.5141158989598811
63,0.5293186951832481, 0.9990439770554493, 0.5148588410104011
64,0.5290032762866039, 0.9993626513702996, 0.5297176820208024
65,0.5309039295089641, 1.0, 0.5289747399702823
66,0.5350511792596814, 1.0, 0.5237741456166419
67,0.5344172890254574, 1.0, 0.5156017830609212
68,0.5238945076412771, 1.0, 0.525260029717682
69,0.5315459595856818, 1.0, 0.5170876671619614
70,0.5280468447935533, 1.0, 0.512630014858841
71,0.526771941962923, 1.0, 0.5356612184249628
72,0.5366445534278912, 1.0, 0.513372956909361
73,0.5245436600801775, 1.0, 0.5148588410104011
74,0.5299647951812132, 1.0, 0.5156017830609212
75,0.5289981888850451, 1.0, 0.5163447251114414
76,0.529961742740278, 1.0, 0.524517087667162
77,0.5350654239840459, 1.0, 0.5230312035661219
78,0.5283683685720681, 1.0, 0.5163447251114414
79,0.5232595999267415, 1.0, 0.5274888558692422
80,0.5315408721841233, 1.0, 0.5111441307578009
81,0.5251806027553367, 1.0, 0.5237741456166419
82,0.5235892635477504, 1.0, 0.5178306092124815
83,0.5207148816670397, 1.0, 0.5163447251114414
84,0.5312356280905964, 1.0, 0.5170876671619614
85,0.5255031440141634, 1.0, 0.5193164933135216
86,0.5254939866913575, 1.0, 0.525260029717682
87,0.5283571762886388, 1.0, 0.5081723625557206
88,0.5363270995706234, 1.0, 0.513372956909361
89,0.5245406076392422, 1.0, 0.5200594353640416
90,0.5264504181844081, 1.0, 0.5111441307578009
91,0.5270812559776968, 1.0, 0.5312035661218425
92,0.528681752508089, 1.0, 0.5334323922734027
93,0.5264412608616024, 1.0, 0.5118870728083209
94,0.52453348527706, 1.0, 0.5118870728083209
95,0.5318644309232616, 1.0, 0.5237741456166419
96,0.5261288944058933, 1.0, 0.5312035661218425
97,0.5375979324800065, 1.0, 0.5430906389301634
98,0.516256282940925, 1.0, 0.5215453194650818
99,0.5350593191021753, 1.0, 0.5297176820208024
100,0.5235841761461916, 1.0, 0.5178306092124815
101,0.5274027797562117, 1.0, 0.5074294205052006
102,0.530274109195987, 1.0, 0.5193164933135216
103,0.5331434036751388, 1.0, 0.5215453194650818
104,0.5318654484035734, 1.0, 0.5178306092124815
105,0.528677682586842, 1.0, 0.5222882615156018
106,0.5232616348873649, 1.0, 0.5178306092124815
107,0.5293227651044953, 1.0, 0.5193164933135216
108,0.5248641663783806, 1.0, 0.5237741456166419
109,0.5353727030381961, 1.0, 0.5326894502228826
110,0.5325064609999797, 1.0, 0.5319465081723626
111,0.5379255611403919, 1.0, 0.5334323922734027
112,0.5318644309232616, 1.0, 0.5193164933135216
113,0.5356962617773346, 1.0, 0.5319465081723626
114,0.5321879896624001, 1.0, 0.5170876671619614
115,0.5229380761482265, 1.0, 0.513372956909361
116,0.5277222685741031, 1.0, 0.5163447251114414
117,0.530907999430211, 1.0, 0.5260029717682021
118,0.5341079750106835, 1.0, 0.5230312035661219
119,0.5299586902993427, 1.0, 0.5215453194650818
120,0.5334557701308479, 1.0, 0.5319465081723626
121,0.5274210944018234, 1.0, 0.5200594353640416
122,0.5328157750147534, 1.0, 0.5215453194650818
123,0.527722268574103, 1.0, 0.5222882615156018
124,0.5296442888830101, 1.0, 0.5208023774145617
125,0.5146700311348976, 1.0, 0.5148588410104011
126,0.5130705520848171, 1.0, 0.5193164933135216
127,0.5347367778433487, 1.0, 0.5096582466567607
128,0.5337823813109216, 1.0, 0.5215453194650818
129,0.5203953928491484, 1.0, 0.5334323922734027
130,0.5341008526485013, 1.0, 0.5282317979197623
131,0.5270802384973851, 1.0, 0.5260029717682021
132,0.5340927128060072, 1.0, 0.5282317979197623
133,0.5325074784802915, 1.0, 0.5170876671619614
134,0.5239006125231478, 1.0, 0.5163447251114414
135,0.5210333530046193, 1.0, 0.524517087667162
136,0.5385543639730571, 1.0, 0.5282317979197623
137,0.5328269672981827, 1.0, 0.5118870728083209
138,0.5232646873283002, 1.0, 0.5304606240713224
139,0.5309161392727051, 1.0, 0.5185735512630015
140,0.5309110518711463, 1.0, 0.5267459138187222
141,0.5264544881056551, 1.0, 0.5215453194650818
142,0.5309090169105228, 1.0, 0.5260029717682021
143,0.5232565474858062, 1.0, 0.524517087667162
144,0.5274170244805763, 1.0, 0.524517087667162
145,0.5251775503144015, 1.0, 0.5260029717682021
146,0.5210404753668018, 1.0, 0.5237741456166419
147,0.5353665981563257, 1.0, 0.5170876671619614
148,0.527089395820191, 1.0, 0.5156017830609212
149,0.5315388372234997, 1.0, 0.5267459138187222
150,0.5280346350298121, 1.0, 0.5193164933135216
151,0.5226226572515822, 1.0, 0.5185735512630015
152,0.5312325756496612, 1.0, 0.5260029717682021
153,0.5207047068639221, 1.0, 0.5074294205052006
154,0.5318644309232615, 1.0, 0.5289747399702823
155,0.5299586902993427, 1.0, 0.5326894502228826
156,0.5277192161331679, 1.0, 0.5163447251114414
157,0.5216641907979079, 1.0, 0.5148588410104011
158,0.5232718096904824, 1.0, 0.5289747399702823
159,0.5245304328361247, 1.0, 0.5185735512630015
160,0.5299566553387193, 1.0, 0.5267459138187222
161,0.52198978449767, 1.0, 0.5222882615156018
162,0.5312366455709082, 1.0, 0.5185735512630015
163,0.5315479945463055, 1.0, 0.512630014858841
164,0.5207270914307809, 1.0, 0.5096582466567607
165,0.5248611139374453, 1.0, 0.5193164933135216
166,0.5286858224293359, 1.0, 0.5289747399702823
167,0.5286787000671537, 1.0, 0.513372956909361
168,0.5350562666612401, 1.0, 0.5118870728083209
169,0.5274068496774589, 1.0, 0.5163447251114414
170,0.5261268594452697, 1.0, 0.5356612184249628
171,0.5207118292261044, 1.0, 0.524517087667162
172,0.5289981888850451, 1.0, 0.512630014858841
173,0.5245426425998658, 1.0, 0.5141158989598811
174,0.5178394823060174, 1.0, 0.5237741456166419
175,0.5197594676543009, 1.0, 0.5200594353640416
176,0.5274027797562117, 1.0, 0.5052005943536404
177,0.5235801062249446, 1.0, 0.525260029717682
178,0.5299627602205897, 1.0, 0.525260029717682
179,0.5277283734559737, 1.0, 0.524517087667162
180,0.5254990740929163, 1.0, 0.5349182763744428
181,0.5321767973789708, 1.0, 0.5170876671619614
182,0.5277232860544149, 1.0, 0.5230312035661219
183,0.5423872123074419, 1.0, 0.5304606240713224
184,0.5191225249791416, 1.0, 0.5312035661218425
185,0.5219887670173582, 1.0, 0.513372956909361
186,0.5194420137970329, 1.0, 0.5178306092124815
187,0.5318725707657557, 1.0, 0.525260029717682
188,0.5280387049510591, 1.0, 0.513372956909361
189,0.5270792210170733, 1.0, 0.5178306092124815
190,0.5363291345312468, 1.0, 0.5215453194650818
191,0.5264595755072139, 1.0, 0.512630014858841
192,0.5210231782015018, 1.0, 0.5111441307578009
193,0.5328269672981828, 1.0, 0.5319465081723626
194,0.5226216397712704, 1.0, 0.5156017830609212
195,0.532179849819906, 1.0, 0.5074294205052006
196,0.5261278769255815, 1.0, 0.5222882615156018
197,0.5242150139394803, 1.0, 0.5156017830609212
198,0.5197615026149244, 1.0, 0.5185735512630015
199,0.5242119614985451, 1.0, 0.5200594353640416
200,0.5296330965995809, 1.0, 0.5148588410104011
201,0.5280448098329298, 1.0, 0.5193164933135216
202,0.5293166602226247, 1.0, 0.5148588410104011
203,0.5299556378584074, 1.0, 0.5118870728083209
204,0.5251704279522191, 1.0, 0.5111441307578009
205,0.5238975600822124, 1.0, 0.5334323922734027
206,0.5309059644695875, 1.0, 0.5185735512630015
207,0.5331393337538919, 1.0, 0.5326894502228826
208,0.5274017622758999, 1.0, 0.5297176820208024
209,0.5341028876091247, 1.0, 0.5193164933135216
210,0.5347377953236604, 1.0, 0.5156017830609212
211,0.5363382918540526, 1.0, 0.5230312035661219
212,0.5318634134429499, 1.0, 0.5215453194650818
213,0.5347347428827253, 1.0, 0.5304606240713224
214,0.5242180663804156, 1.0, 0.5260029717682021
215,0.5258114405486253, 1.0, 0.5267459138187222
216,0.5296310616389572, 1.0, 0.5193164933135216
217,0.5280458273132415, 1.0, 0.5200594353640416
218,0.5245324677967481, 1.0, 0.5081723625557206
219,0.5251765328340896, 1.0, 0.5185735512630015
220,0.5318685008445085, 1.0, 0.5260029717682021
221,0.5293105553407542, 1.0, 0.537147102526003
222,0.5363342219328056, 1.0, 0.5319465081723626
223,0.5350542317006166, 1.0, 0.524517087667162
224,0.5363332044524938, 1.0, 0.5081723625557206
225,0.523578071264321, 1.0, 0.5170876671619614
226,0.530595632974502, 1.0, 0.5208023774145617
227,0.5344132191042104, 1.0, 0.5230312035661219
228,0.5219816446551759, 1.0, 0.513372956909361
229,0.5270853258989437, 1.0, 0.5141158989598811
230,0.5258185629108076, 1.0, 0.524517087667162
231,0.5216611383569727, 1.0, 0.5074294205052006
232,0.532497303677174, 1.0, 0.5185735512630015
233,0.5341049225697483, 1.0, 0.5297176820208024
234,0.5203862355263427, 1.0, 0.5208023774145617
235,0.5321890071427118, 1.0, 0.5170876671619614
236,0.5251744978734662, 1.0, 0.5260029717682021
237,0.5379214912191449, 1.0, 0.5200594353640416
238,0.5318705358051322, 1.0, 0.5200594353640416
239,0.5305844406910727, 1.0, 0.5304606240713224
240,0.5213579292240695, 1.0, 0.5230312035661219
241,0.5248529740949512, 1.0, 0.5156017830609212
242,0.5280468447935533, 1.0, 0.5304606240713224
243,0.5274068496774588, 1.0, 0.5141158989598811
244,0.5334639099733419, 1.0, 0.5222882615156018
245,0.5296259742373984, 1.0, 0.5260029717682021
246,0.5248519566146396, 1.0, 0.5401188707280832
247,0.5309161392727051, 1.0, 0.5215453194650818
248,0.5340866079241365, 1.0, 0.5222882615156018
249,0.5277273559756619, 1.0, 0.5260029717682021
250,0.5267719419629231, 1.0, 0.5178306092124815
